Frame: 39, ID: 3, BBox: [554, 217, 85, 166], Confidence: 0.90
Frame: 39, ID: 4, BBox: [103, 282, 198, 101], Confidence: 0.73
Frame: 40, ID: 1, BBox: [317, 52, 180, 331], Confidence: 0.92
Frame: 40, ID: 2, BBox: [197, 212, 204, 171], Confidence: 0.90
Frame: 40, ID: 3, BBox: [553, 217, 86, 166], Confidence: 0.90
Frame: 40, ID: 4, BBox: [97, 281, 204, 102], Confidence: 0.76
Frame: 41, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 41, ID: 2, BBox: [195, 211, 205, 172], Confidence: 0.91
Frame: 41, ID: 3, BBox: [553, 216, 86, 167], Confidence: 0.90
Frame: 41, ID: 4, BBox: [92, 280, 209, 103], Confidence: 0.79
Frame: 41, ID: 8, BBox: [156, 241, 44, 49], Confidence: 0.28
Frame: 42, ID: 1, BBox: [316, 51, 181, 332], Confidence: 0.92
Frame: 42, ID: 2, BBox: [192, 211, 208, 172], Confidence: 0.91
Frame: 42, ID: 3, BBox: [553, 216, 86, 167], Confidence: 0.90
Frame: 42, ID: 4, BBox: [96, 280, 205, 103], Confidence: 0.77
Frame: 42, ID: 8, BBox: [155, 241, 44, 48], Confidence: 0.30
Frame: 43, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 43, ID: 2, BBox: [190, 211, 209, 172], Confidence: 0.91
Frame: 43, ID: 3, BBox: [553, 216, 86, 167], Confidence: 0.91
Frame: 43, ID: 4, BBox: [92, 281, 210, 102], Confidence: 0.77
Frame: 44, ID: 1, BBox: [317, 50, 180, 333], Confidence: 0.92
Frame: 44, ID: 2, BBox: [190, 211, 208, 172], Confidence: 0.91
Frame: 44, ID: 3, BBox: [552, 215, 87, 168], Confidence: 0.91
Frame: 44, ID: 4, BBox: [90, 281, 213, 102], Confidence: 0.76
Frame: 44, ID: 8, BBox: [79, 245, 225, 138], Confidence: 0.31
Frame: 45, ID: 1, BBox: [310, 50, 187, 333], Confidence: 0.94
Frame: 45, ID: 2, BBox: [190, 210, 208, 173], Confidence: 0.92
Frame: 45, ID: 3, BBox: [552, 215, 87, 168], Confidence: 0.91
Frame: 45, ID: 4, BBox: [88, 277, 215, 106], Confidence: 0.75
Frame: 46, ID: 1, BBox: [299, 50, 198, 333], Confidence: 0.93
Frame: 46, ID: 2, BBox: [189, 210, 208, 173], Confidence: 0.93
Frame: 46, ID: 3, BBox: [552, 215, 87, 168], Confidence: 0.91
Frame: 46, ID: 4, BBox: [88, 268, 217, 115], Confidence: 0.76
Frame: 47, ID: 1, BBox: [189, 210, 208, 173], Confidence: 0.92
Frame: 47, ID: 2, BBox: [288, 50, 209, 333], Confidence: 0.92
Frame: 47, ID: 3, BBox: [552, 215, 87, 168], Confidence: 0.91
Frame: 47, ID: 4, BBox: [87, 263, 218, 120], Confidence: 0.77
Frame: 48, ID: 1, BBox: [189, 209, 209, 174], Confidence: 0.91
Frame: 48, ID: 2, BBox: [283, 50, 215, 334], Confidence: 0.91
Frame: 48, ID: 3, BBox: [552, 215, 87, 168], Confidence: 0.91
Frame: 48, ID: 4, BBox: [88, 260, 218, 123], Confidence: 0.75
Frame: 49, ID: 1, BBox: [189, 209, 209, 174], Confidence: 0.92
Frame: 49, ID: 2, BBox: [281, 49, 217, 335], Confidence: 0.91
Frame: 49, ID: 3, BBox: [551, 215, 88, 168], Confidence: 0.91
Frame: 49, ID: 4, BBox: [87, 280, 218, 103], Confidence: 0.77
Frame: 50, ID: 1, BBox: [281, 49, 217, 335], Confidence: 0.92
Frame: 50, ID: 2, BBox: [187, 208, 210, 175], Confidence: 0.91
Frame: 50, ID: 3, BBox: [551, 215, 88, 168], Confidence: 0.91
Frame: 50, ID: 4, BBox: [88, 277, 217, 106], Confidence: 0.72
Frame: 51, ID: 1, BBox: [281, 49, 216, 334], Confidence: 0.93
Frame: 51, ID: 2, BBox: [185, 208, 212, 175], Confidence: 0.92
Frame: 51, ID: 3, BBox: [551, 215, 88, 168], Confidence: 0.91
Frame: 51, ID: 4, BBox: [86, 277, 219, 106], Confidence: 0.77
Frame: 52, ID: 1, BBox: [280, 49, 218, 335], Confidence: 0.93
Frame: 52, ID: 2, BBox: [184, 208, 213, 175], Confidence: 0.92
Frame: 52, ID: 3, BBox: [551, 215, 88, 168], Confidence: 0.91
Frame: 52, ID: 4, BBox: [86, 277, 221, 106], Confidence: 0.79
Frame: 53, ID: 1, BBox: [280, 49, 218, 335], Confidence: 0.93
Frame: 53, ID: 2, BBox: [184, 207, 212, 176], Confidence: 0.92
Frame: 53, ID: 3, BBox: [551, 214, 88, 169], Confidence: 0.91
Frame: 53, ID: 4, BBox: [86, 277, 222, 106], Confidence: 0.75
Frame: 54, ID: 1, BBox: [279, 49, 219, 334], Confidence: 0.93
Frame: 54, ID: 2, BBox: [183, 207, 213, 176], Confidence: 0.92
Frame: 54, ID: 3, BBox: [551, 214, 88, 169], Confidence: 0.91
Frame: 54, ID: 4, BBox: [85, 275, 223, 108], Confidence: 0.71
Frame: 55, ID: 1, BBox: [280, 49, 219, 335], Confidence: 0.92
Frame: 55, ID: 2, BBox: [182, 207, 214, 176], Confidence: 0.92
Frame: 55, ID: 3, BBox: [551, 214, 88, 169], Confidence: 0.90
Frame: 55, ID: 4, BBox: [82, 272, 227, 111], Confidence: 0.70
Frame: 56, ID: 1, BBox: [280, 49, 219, 333], Confidence: 0.92
Frame: 56, ID: 2, BBox: [183, 207, 212, 176], Confidence: 0.91
Frame: 56, ID: 3, BBox: [551, 214, 88, 169], Confidence: 0.90
Frame: 56, ID: 4, BBox: [87, 251, 224, 132], Confidence: 0.67
Frame: 57, ID: 1, BBox: [280, 48, 220, 335], Confidence: 0.92
Frame: 57, ID: 2, BBox: [550, 214, 89, 169], Confidence: 0.90
Frame: 57, ID: 3, BBox: [182, 206, 213, 177], Confidence: 0.90
Frame: 57, ID: 4, BBox: [72, 250, 239, 133], Confidence: 0.65
Frame: 58, ID: 1, BBox: [279, 48, 221, 335], Confidence: 0.92
Frame: 58, ID: 2, BBox: [550, 214, 89, 169], Confidence: 0.91
Frame: 58, ID: 3, BBox: [181, 206, 214, 177], Confidence: 0.91
Frame: 58, ID: 4, BBox: [69, 246, 241, 137], Confidence: 0.67
Frame: 59, ID: 1, BBox: [279, 47, 221, 336], Confidence: 0.92
Frame: 59, ID: 2, BBox: [550, 214, 89, 169], Confidence: 0.90
Frame: 59, ID: 3, BBox: [181, 205, 214, 178], Confidence: 0.90
Frame: 59, ID: 4, BBox: [65, 240, 242, 143], Confidence: 0.75
Frame: 60, ID: 1, BBox: [279, 47, 221, 336], Confidence: 0.92
Frame: 60, ID: 2, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 60, ID: 3, BBox: [181, 205, 214, 178], Confidence: 0.90
Frame: 60, ID: 4, BBox: [65, 241, 237, 142], Confidence: 0.75
Frame: 61, ID: 1, BBox: [279, 48, 220, 334], Confidence: 0.93
Frame: 61, ID: 2, BBox: [182, 204, 212, 179], Confidence: 0.91
Frame: 61, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 61, ID: 4, BBox: [65, 245, 234, 138], Confidence: 0.73
Frame: 62, ID: 1, BBox: [279, 47, 221, 336], Confidence: 0.93
Frame: 62, ID: 2, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 62, ID: 3, BBox: [181, 204, 213, 179], Confidence: 0.90
Frame: 62, ID: 4, BBox: [62, 242, 235, 141], Confidence: 0.75
Frame: 63, ID: 1, BBox: [279, 47, 220, 336], Confidence: 0.93
Frame: 63, ID: 2, BBox: [181, 204, 213, 179], Confidence: 0.91
Frame: 63, ID: 3, BBox: [551, 213, 88, 170], Confidence: 0.90
Frame: 63, ID: 4, BBox: [60, 262, 236, 121], Confidence: 0.79
Frame: 64, ID: 1, BBox: [278, 48, 221, 335], Confidence: 0.94
Frame: 64, ID: 2, BBox: [182, 203, 211, 180], Confidence: 0.91
Frame: 64, ID: 3, BBox: [550, 214, 89, 169], Confidence: 0.90
Frame: 64, ID: 4, BBox: [58, 253, 238, 130], Confidence: 0.78
Frame: 65, ID: 1, BBox: [278, 47, 221, 336], Confidence: 0.94
Frame: 65, ID: 2, BBox: [182, 203, 210, 180], Confidence: 0.91
Frame: 65, ID: 3, BBox: [550, 214, 89, 169], Confidence: 0.90
Frame: 65, ID: 4, BBox: [57, 255, 238, 128], Confidence: 0.77
Frame: 66, ID: 1, BBox: [277, 48, 222, 334], Confidence: 0.93
Frame: 66, ID: 2, BBox: [182, 203, 208, 180], Confidence: 0.90
Frame: 66, ID: 3, BBox: [550, 214, 89, 169], Confidence: 0.90
Frame: 66, ID: 4, BBox: [55, 253, 239, 130], Confidence: 0.80
Frame: 67, ID: 1, BBox: [277, 47, 222, 336], Confidence: 0.94
Frame: 67, ID: 2, BBox: [183, 203, 207, 180], Confidence: 0.91
Frame: 67, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 67, ID: 10, BBox: [57, 250, 238, 133], Confidence: 0.81
Frame: 68, ID: 1, BBox: [277, 48, 222, 334], Confidence: 0.93
Frame: 68, ID: 2, BBox: [183, 202, 206, 181], Confidence: 0.90
Frame: 68, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 68, ID: 10, BBox: [55, 250, 238, 133], Confidence: 0.81
Frame: 69, ID: 1, BBox: [277, 47, 222, 336], Confidence: 0.94
Frame: 69, ID: 2, BBox: [185, 202, 205, 181], Confidence: 0.90
Frame: 69, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 69, ID: 10, BBox: [51, 250, 242, 133], Confidence: 0.82
Frame: 70, ID: 1, BBox: [277, 48, 222, 334], Confidence: 0.93
Frame: 70, ID: 2, BBox: [184, 202, 205, 181], Confidence: 0.90
Frame: 70, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 70, ID: 10, BBox: [52, 248, 240, 135], Confidence: 0.81
Frame: 71, ID: 1, BBox: [276, 48, 223, 334], Confidence: 0.93
Frame: 71, ID: 2, BBox: [185, 201, 204, 182], Confidence: 0.90
Frame: 71, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 71, ID: 10, BBox: [52, 248, 242, 135], Confidence: 0.82
Frame: 72, ID: 1, BBox: [276, 47, 223, 336], Confidence: 0.93
Frame: 72, ID: 2, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 72, ID: 3, BBox: [182, 200, 206, 183], Confidence: 0.90
Frame: 72, ID: 10, BBox: [51, 245, 242, 138], Confidence: 0.82
Frame: 73, ID: 1, BBox: [276, 47, 223, 335], Confidence: 0.93
Frame: 73, ID: 2, BBox: [181, 200, 207, 183], Confidence: 0.90
Frame: 73, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 73, ID: 10, BBox: [51, 245, 242, 138], Confidence: 0.83
Frame: 74, ID: 1, BBox: [276, 47, 223, 336], Confidence: 0.93
Frame: 74, ID: 2, BBox: [181, 199, 206, 184], Confidence: 0.90
Frame: 74, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.90
Frame: 74, ID: 10, BBox: [51, 240, 241, 143], Confidence: 0.83
Frame: 75, ID: 1, BBox: [276, 47, 223, 336], Confidence: 0.93
Frame: 75, ID: 2, BBox: [180, 199, 206, 184], Confidence: 0.90
Frame: 75, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.89
Frame: 75, ID: 10, BBox: [51, 237, 241, 146], Confidence: 0.82
Frame: 76, ID: 1, BBox: [276, 46, 223, 337], Confidence: 0.93
Frame: 76, ID: 2, BBox: [180, 199, 206, 184], Confidence: 0.91
Frame: 76, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.89
Frame: 76, ID: 10, BBox: [50, 238, 241, 145], Confidence: 0.83
Frame: 77, ID: 1, BBox: [276, 46, 223, 337], Confidence: 0.93
Frame: 77, ID: 2, BBox: [180, 199, 206, 184], Confidence: 0.91
Frame: 77, ID: 3, BBox: [550, 212, 89, 171], Confidence: 0.89
Frame: 77, ID: 10, BBox: [50, 234, 241, 149], Confidence: 0.82
Frame: 78, ID: 1, BBox: [276, 47, 223, 336], Confidence: 0.93
Frame: 78, ID: 2, BBox: [180, 199, 206, 184], Confidence: 0.91
Frame: 78, ID: 3, BBox: [550, 212, 89, 171], Confidence: 0.89
Frame: 78, ID: 10, BBox: [48, 230, 244, 153], Confidence: 0.84
Frame: 79, ID: 1, BBox: [276, 47, 223, 336], Confidence: 0.94
Frame: 79, ID: 2, BBox: [179, 199, 207, 184], Confidence: 0.91
Frame: 79, ID: 3, BBox: [550, 212, 89, 171], Confidence: 0.89
Frame: 79, ID: 10, BBox: [48, 227, 244, 156], Confidence: 0.85
Frame: 80, ID: 1, BBox: [276, 47, 223, 336], Confidence: 0.94
Frame: 80, ID: 2, BBox: [179, 198, 207, 185], Confidence: 0.91
Frame: 80, ID: 3, BBox: [550, 212, 89, 171], Confidence: 0.89
Frame: 80, ID: 10, BBox: [47, 226, 245, 157], Confidence: 0.85
Frame: 81, ID: 1, BBox: [276, 47, 224, 336], Confidence: 0.93
Frame: 81, ID: 2, BBox: [179, 198, 207, 185], Confidence: 0.90
Frame: 81, ID: 3, BBox: [550, 213, 89, 170], Confidence: 0.89
Frame: 81, ID: 10, BBox: [44, 231, 247, 152], Confidence: 0.85
Frame: 82, ID: 1, BBox: [276, 47, 224, 336], Confidence: 0.93
Frame: 82, ID: 2, BBox: [180, 198, 206, 185], Confidence: 0.90
